年度,檢體名稱,抽樣廠商名稱,抽樣廠商地址,產地,重金屬檢測殘留量鎘含量_單位ppm,重金屬檢測殘留量汞含量_單位ppm,重金屬檢測殘留量鉛含量_單位ppm,重金屬檢測殘留量無機砷含量_單位ppm,檢驗結果
111,白米,一同便利商店,宜蘭縣頭城鎮濱海路一段315號,臺灣,0.12,,,0.07,合格
111,有機白米,花蓮市農會供銷部,花蓮縣花蓮市中山路二段1號,臺灣,0.04,,,0.04,合格
111,有機白米,有限責任花蓮縣銀川有機農產品生產合作社,花蓮縣富里鄉公埔路二段75號,臺灣,,,,,合格
111,有機白米,陳協和碾米工廠,臺東縣池上鄉萬安村一鄰萬安一號,臺灣,,,,0.03,合格
111,有機白米,鮮綠市集南崁店,桃園市蘆竹區中正路1號5樓,臺灣,0.06,,,0.11,合格
111,米,悟農田園,臺中市大雅區上山五路55巷132號,臺灣,0.06,,,0.1,合格
111,有機長秈白米,信安糧食行(花蓮縣富里鄉有機米產銷班第一班),花蓮縣富里鄉學田村6鄰民權路10號,臺灣,0.03,,,0.03,合格
111,有機白米台梗九號,泉順食品企業股份有限公司,苗栗縣苑裡鎮玉田里7鄰91-1號,臺灣,0.05,,,0.06,合格
111,白米,新化區農會購物中心,臺南市新化區民生路215號,臺灣,0.04,,,0.05,合格
111,有機白米,池上多力米股份有限公司(建興碾米工廠門市),臺東縣池上鄉福原村中山路193之1號,臺灣,,,,0.02,合格
111,有機白米,花蓮縣富里鄉農會碾米工廠,花蓮縣富里鄉羅山村東湖６號,臺灣,,,,,合格
111,有機胚芽白米,花蓮縣富里鄉農會碾米工廠,花蓮縣富里鄉羅山村東湖６號,臺灣,,,,0.02,合格
111,有機白米,台東縣池上鄉農會供銷部,臺東縣池上鄉新興村7鄰新興85-6號,臺灣,,,,,合格
111,白米,梓園碾米工廠,臺東縣關山鎮永豐六鄰六十九之一號,臺灣,0.06,,,0.03,合格
111,有機白米,有限責任花蓮縣花東有機農產加工生產合作社,花蓮縣玉里鎮東豐里玉里鎮東豐里隸芬71-3號,臺灣,,,,0.02,合格
111,有機發芽糙米,統健實業股份有限公司南昌門市,臺北市中正區南昌路1段113號1樓,臺灣,,,,0.07,合格
111,白米(富里優香米),三商家購股份有限公司,新竹縣竹北市莊敬三路171號,臺灣,,,,0.1,合格
111,白米,金喜美股份有限公司復興營業所,彰化縣鹿港鎮復興路99號,臺灣,0.09,,,0.13,合格
111,白米,瑞豐碾米廠,嘉義縣布袋鎮江山里崩山118號,臺灣,0.05,,,0.09,合格
111,鹿野米,蜜鄰便利超市,嘉義市垂楊路49號之1,臺灣,0.04,,,0.04,合格
111,白米,家福股份有限公司屏東分公司,屏東市仁愛路188號,臺灣,0.03,,,0.07,合格
111,黑糙米,全聯實業股份有限公司基隆樂利分公司,基隆市安樂區樂利三街146、148號,臺灣,0.06,,,0.17,合格
111,白米,家福股份有限公司板橋中正分公司,新北市板橋區中正路302號,臺灣,0.07,,,0.08,合格
111,白米,全聯實業股份有限公司新竹中正分公司,新竹市北區中正路413號,臺灣,0.06,,,0.04,合格
111,白米,喜美超市國際店,臺中市西屯區國際街70-7號,臺灣,0.03,,,0.11,合格
111,白米,南投縣草屯鎮農會,南投縣草屯鎮南埔里中正路233-80號,臺灣,0.11,,,0.07,合格
111,白米,龍府商店,雲林縣水林鄉松北村蔦松路75-2號,臺灣,,,,0.09,合格
111,特栽履歷黑米,全聯實業股份有限公司高雄林園三分公司,高雄市林園區王公村林園北路495巷1號1樓,臺灣,0.07,,,0.18,合格
111,有機長秈糙米,礁溪鄉濃湯戀物產館,宜蘭縣礁溪鄉中山路一段175-1號2樓,臺灣,0.22,,0.02,0.11,合格
111,黑糯糙米,好農市安心食品有限公司（好農市）,臺北市大安區復興南路2 段155 號,臺灣,0.07,,,0.15,合格
111,龍興泰國米,果然滙,新北市板橋區中山路1段152號11樓,泰國,,,,0.08,合格
111,白米,大潤發平鎮店,桃園市平鎮區南東路57-1號,臺灣,0.06,,,0.07,合格
111,白米(珍藏壽司米),三商家購股份有限公司,新竹縣竹北市莊敬三路171號,臺灣,,,,0.09,合格
111,花東黑糯糙米,金喜美股份有限公司彰南營業所(喜美超市),彰化縣彰化市彰南路2 段 239-3 號,臺灣,0.06,,,0.08,合格
111,白米,美廉社太保後潭店,嘉義縣太保市後潭里318號,臺灣,0.05,,,0.06,合格
111,白米,全聯福利中心忠孝店,嘉義市東區忠孝路436號,臺灣,0.07,,,0.07,合格
111,黑糯糙米,家福股份有限公司屏東分公司,屏東市仁愛路188號,臺灣,0.11,,,0.12,合格
111,白米,全聯實業股份有限公司麻豆博愛分公司,臺南市麻豆區大埕里博愛路3-1號1、2樓,臺灣,0.04,,,0.06,合格
111,有機白米,安永鮮物三民店,臺北市松山區三民路31號,臺灣,,,,0.09,合格
111,胚芽糙米,旭豐商行(自由聯盟後龍店),苗栗縣後龍鎮中心路120-58號,臺灣,0.04,,,0.07,合格
111,白米,全聯神岡五權店,臺中市神岡區豐洲里五權路1號1樓,臺灣,0.06,,,0.06,合格
111,瀧芽胚白米,全聯實業股份有限公司,雲林縣斗六市杭州街18號,臺灣,0.05,,,0.08,合格
111,白米,九久商行,高雄市大寮區大仁街1號,臺灣,0.08,,,0.07,合格
111,金祥米,日日來什貨店,新北市板橋區大同街25巷16號,臺灣,0.03,,,0.07,合格
111,長糯白米,家樂福超市中壢永福店,"桃園市中壢區永福路982號,986號",臺灣,0.05,,,0.09,合格
111,有機白米,柑仔店有機健康超市南大店,新竹市東區南大路580號,臺灣,0.05,,,0.07,合格
111,白米,禾米馨鮮,彰化縣員林市三和里三民東街379號,臺灣,0.02,,,0.08,合格
111,池上米,全家便利商店股份有限公司竹山夯蕃薯分公司,南投縣竹山鎮集山路三段129號,臺灣,0.05,,,0.08,合格
111,白米,鹿草鄉農會購物中心,嘉義縣鹿草鄉 西井村長壽路208號,臺灣,0.12,,,0.08,合格
111,白米,全聯福利中心,嘉義市東區和平路134-13號,印尼,0.02,,,0.08,合格
111,白米,旗山區農會旗農店,高雄市旗山區中山路65號,臺灣,0.04,,,0.1,合格
111,白米,大港生鮮超市(光春店),屏東縣潮州鎮光春路25號,臺灣,0.04,,,0.07,合格
111,白米,一三五超市,宜蘭縣三星鄉三星路四段383號Ｂ棟一樓,臺灣,0.15,,,0.12,合格
111,白米,統健實業股份有限公司天母門市,臺北市士林區天母西路28號1樓,臺灣,,,,0.06,合格
111,糙米,泉勝科技股份有限公司竹北門市,竹北市六家二街86號,臺灣,0.04,,,0.16,合格
111,白米,領好生活館,臺中市南屯區忠勇路109-2，109-3號,臺灣,,,,0.09,合格
111,梗白米,大吉市有限公司,雲林縣斗六市長安西路16-2號,臺灣,0.03,,,0.09,合格
111,有機糙米,全聯 永康大橋店,臺南市永康區大橋二街218號、大橋一街247巷69號,臺灣,0.03,,,0.12,合格
111,白米,秋燒肉飯,高雄市阿蓮區民生路136號,臺灣,0.03,,,0.08,合格
111,越光米,食品行,台北市中山區伊通街94巷4號(22攤),臺灣,,,,0.06,合格
111,白米,全聯實業股份有限公司新莊大觀分公司,新北市新莊區大觀街41號1、2樓,臺灣,,,,0.08,合格
111,Uonuma新潟魚沼越光米(日本新潟縣),好市多股份有限公司中壢分公司,桃園市中壢區民族路六段508號,日本新潟縣,0.04,,,0.06,合格
111,梗白米,全國棧餐盒食品廠,台中市沙鹿區斗抵里斗潭路三六號,臺灣,0.02,,,0.07,合格
111,白米,全聯實業股份有限公司頭城分公司,宜蘭縣頭城鎮開蘭路149號地下一層,臺灣,0.07,,,0.13,合格
112,白米,全聯實業股份有限公司基隆西定分公司(市招：全聯福利中心),基隆市中山區西定里西定路230號,臺灣,0.07,,,0.08,合格
112,白米,西門國小午餐廚房,新竹市北區北大路450號,臺灣,0.08,,,0.09,合格
112,梗米秈米,溪湖鎮農會購物中心,彰化縣溪湖鎮光華里員鹿路3段69號,臺灣,,,,0.1,合格
112,鹿野米,全聯民權店,嘉義市東區民權路177號,臺灣,0.05,,,0.09,合格
112,水稻-履歷無洗米,家樂福便利購鳳山甲一分公司,高雄市鳳山區五甲一路261號,臺灣,0.03,,,0.07,合格
112,白米(御膳米),統一超商(瑞廣門市),屏東縣屏東市廣東南路88-15號,臺灣,0.04,,,0.08,合格
112,白米,東楚霸王小吃部,宜蘭縣壯圍鄉大福路三段232巷30號,臺灣,0.1,,,0.11,合格
112,長糯白米,楓康光明店,新竹縣竹北市光明六路東二段130號,臺灣,0.04,,,0.15,合格
112,白米,愛買復興店,臺中市南區復興路一段359號,臺灣,0.07,,,0.08,合格
112,白米,全聯福利中心嘉義新港分公司,嘉義縣新港鄉中山路72巷2-1號1樓,臺灣,0.04,,,0.09,合格
112,白米,臺南市麻豆區農會農特產品供應中心,臺南市麻豆區新生北路56號,臺灣,0.03,,,0.1,合格
112,白米,全聯-花蓮美崙分公司,花蓮縣花蓮市中美路113-6.113-7.113-8號,美國,,,,0.08,合格
112,白米,統冠超市福興店-伍翊企業股份有限公司,花蓮縣吉安鄉吉安路3段1號1樓,臺灣,,,,0.08,合格
112,白米,全聯實業股份有限公司-光復分公司,花蓮縣光復鄉中山路2段299-1.299-2號1樓,臺灣,0.09,,,0.1,合格
112,白米,台東縣台東地區農會附設農民購物中心,臺東縣臺東市中正路356號,臺灣,0.11,,,0.07,合格
112,有機白米,棉花田生機園地股份有限公司基隆信二門市,基隆市信義區信二路236-9、10號,臺灣,,,,0.06,合格
112,有機白米,柑仔店南大店,新竹市南大路580號,臺灣,0.04,,,0.1,合格
112,白米,新業食材家有限公司,彰化縣彰化市南興里天祥路臨298號,臺灣,0.08,,,0.08,合格
112,白米,家福股份有限公司斗六分公司,雲林縣斗六市雲林路二段297號,泰國,,,,0.05,合格
112,白米,小北百貨,嘉義市西區興達路361號,臺灣,0.04,,,0.07,合格
112,白米,814超市(沛郡有限公司),高雄市旗山區中學路127號,臺灣,0.03,,,0.07,合格
112,白米,全家便利商店(屏東民享店),屏東縣屏東市林森路23號,臺灣,0.03,,,0.08,合格
112,糙米,全聯實業股份有限公司羅東培英分公司,宜蘭縣羅東鎮培英路2號,臺灣,0.04,,,0.12,合格
112,黑糯糙米,億客來生鮮超市,新竹縣竹北市自強五路30號,臺灣,0.1,,,0.17,合格
112,白米,永昌商店,苗栗縣三灣鄉三灣村中正路221號,臺灣,,,,0.1,合格
112,有機長糯白米,聖德科斯生機食品-海德堡門市,臺中市南屯區向心南路969號1樓,臺灣,0.06,,,0.16,合格
112,白米,全聯實業股份有限公司草屯碧山分公司,南投縣草屯鎮碧山路1121-9-10-11號,臺灣,0.03,,,0.08,合格
112,白米(米堤好米),阿里山東方明珠國際大飯店,嘉義縣中埔鄉欉仔林23號,臺灣,0.03,,,0.08,合格
112,源天然米,全聯實業股份有限公司佳里中山分公司,臺南市佳里區中山路452號,臺灣,,,,0.08,合格
112,香米,台東縣農會生鮮超市,臺東縣臺東市新生路195號,臺灣,,,,0.07,合格
